Name,City,State,Control
University of Northern Colorado,Greeley,CO,Public
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,Public
"University of Puerto Rico, Mayaguez",Mayaguez,PR,Public
"University of Puerto Rico, Rio Piedras",San Juan,PR,Public
University of San Diego,San Diego,CA,Private (non-profit)
University of San Francisco,San Francisco,CA,Private (non-profit)
University of South Alabama,Mobile,AL,Public
University of South Dakota,Vermillion,SD,Public
University of Tulsa,Tulsa,OK,Private (non-profit)
Upstate Medical University,Syracuse,NY,Public
Villanova University,Villanova,PA,Private (non-profit)
Virginia State University,Petersburg,VA,Public
Wake Forest University,Winston-Salem,NC,Private (non-profit)
West Chester University of Pennsylvania,West Chester,PA,Public
Western Michigan University,Kalamazoo,MI,Public
Wichita State University,Wichita,KS,Public
Wright State University,Dayton[f],OH,Public
Yeshiva University,New York,NY,Private (non-profit)
,,,
,,,
,,,
