Name,City,State,Control,Homepage URL
South Dakota State University,Brookings,SD,Public,Error
Southern Connecticut State University,New Haven,CT,Public,Error
Southern University,Baton Rouge,LA,Public,Not Found
Stevens Institute of Technology,Hoboken,NJ,Private (non-profit),Error
SUNY College of Environmental Science and Forestry,Syracuse,NY,Public,Not Found
Tarleton State University,Stephenville,TX,Public,Error
"Teachers College, Columbia University",New York[a],NY,Private (non-profit),Not Found
Tennessee State University,Nashville,TN,Public,Not Found
Tennessee Technological University,Cookeville,TN,Public,Error
Texas A&M University–Corpus Christi,Corpus Christi,TX,Public,Not Found
Texas A&M University–Kingsville,Kingsville,TX,Public,Not Found
Texas Christian University,Fort Worth,TX,Private (non-profit),Not Found
Texas Southern University,Houston,TX,Public,Not Found
Texas State University,San Marcos,TX,Public,Not Found
Texas Tech University Health Sciences Center,Lubbock,TX,Public,Not Found
Texas Woman's University,Denton,TX,Public,Not Found
The New School,New York[a],NY,Private (non-profit),Not Found
The University of Texas at Tyler,Tyler,TX,Public,Not Found
The University of Texas Medical Branch at Galveston,Galveston,TX,Public,Not Found
The University of Texas Rio Grande Valley,Edinburg,TX,Public,Not Found
The University of West Florida,Pensacola,FL,Public,Not Found
Thomas Jefferson University,Philadelphia,PA,Private (non-profit),Not Found
University of Akron Main Campus,Akron,OH,Public,Not Found
"University of Alabama, Huntsville",Huntsville,AL,Public,Not Found
University of Alaska Fairbanks,Fairbanks,AK,Public,Not Found
University of Arkansas at Little Rock,Little Rock,AR,Public,Not Found
University of Arkansas for Medical Sciences,Little Rock,AR,Public,Not Found
University of Colorado Colorado Springs,Colorado Springs,CO,Public,Not Found
University of Massachusetts Chan Medical School,Worcester,MA,Public,Not Found
University of Massachusetts Dartmouth,North Dartmouth,MA,Public,Not Found
University of Michigan-Dearborn,Dearborn,MI,Public,Not Found
University of Missouri–St. Louis,St. Louis,MO,Public,Not Found
University of Nebraska Omaha,Omaha,NE,Public,Not Found
University of New England,Biddeford,ME,Private (non-profit),Not Found
University of New Orleans,New Orleans,LA,Public,Not Found
University of North Carolina at Greensboro,Greensboro,NC,Public,Not Found
University of North Carolina Wilmington,Wilmington,NC,Public,Not Found
University of North Florida,Jacksonville,FL,Public,Not Found
University of Northern Colorado,Greeley,CO,Public,Not Found
University of Oklahoma-Health Sciences Center,Oklahoma City,OK,Public,Not Found
"University of Puerto Rico, Mayaguez",Mayaguez,PR,Public,Not Found
"University of Puerto Rico, Rio Piedras",San Juan,PR,Public,Not Found
University of San Diego,San Diego,CA,Private (non-profit),Not Found
University of San Francisco,San Francisco,CA,Private (non-profit),Not Found
University of South Alabama,Mobile,AL,Public,Not Found
University of South Dakota,Vermillion,SD,Public,Not Found
University of Tulsa,Tulsa,OK,Private (non-profit),Not Found
Upstate Medical University,Syracuse,NY,Public,Not Found
Villanova University,Villanova,PA,Private (non-profit),Not Found
Virginia State University,Petersburg,VA,Public,Not Found
Wake Forest University,Winston-Salem,NC,Private (non-profit),Not Found
West Chester University of Pennsylvania,West Chester,PA,Public,Not Found
Western Michigan University,Kalamazoo,MI,Public,Not Found
Wichita State University,Wichita,KS,Public,Not Found
Wright State University,Dayton[f],OH,Public,Not Found
Yeshiva University,New York,NY,Private (non-profit),Not Found
